actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes
Productores de Bienes,D,Industria Manufacturera,2007,83939.7908,63502.0318
Productores de Bienes,E,"Electricidad, gas y agua",2007,5957.7171,3323.8511
Productores de Bienes,F,Construcción,2007,13894.7701,7177.7753
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2007,40049.1366,28509.1887
Productores de Servicios,H,Servicios de hotelería y restaurantes,2007,4147.9471,2560.2025
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2007,22212.3404,17237.7343
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2007,6115.2283,3971.0122
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2007,31564.4796,19724.1799
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2007,11239.4441,6138.6651
Productores de Servicios,M,Enseñanza,2007,15117.2067,7019.6007
Productores de Servicios,N,Servicios sociales y de salud,2007,8740.1716,4724.1557
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2007,6476.9016,4013.7316
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2007,2122.3312,1418.7503
Impuestos,,IVA y otros impuestos a los productos,2007,53933.7672,37145.8041
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2008,24980.3964,15401.1934
Productores de Bienes,B,Pesca y servicios conexos,2008,912.8003,614.4499
Productores de Bienes,C,Explotación de minas y canteras,2008,765.2410,439.9017
Productores de Bienes,D,Industria Manufacturera,2008,102266.8146,65659.6706
Productores de Bienes,E,"Electricidad, gas y agua",2008,5836.0771,3420.7074
Productores de Bienes,F,Construcción,2008,16793.2640,7285.7301
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2008,52166.2214,30090.6530
